abafallar	abafalla	GL_ONLY:IA	2PS
abafallar	abafalla	GL_ONLY:PI	3PS
abafallar	abafallaba	GL_ONLY:II	1PS
abafallar	abafallaba	GL_ONLY:II	3PS
abafallar	abafallabades	GL_ONLY:II	NA
abafallar	abafallabamos	GL_ONLY:II	NA
abafallar	abafallaban	GL_ONLY:II	3PP
abafallar	abafallabas	GL_ONLY:II	2PS
abafallar	abafallaches	GL_ONLY:EI	2PS
abafallar	abafallade	GL_ONLY:IA	NA
abafallar	abafallades	GL_ONLY:PI	NA
abafallar	abafallado	GL_ONLY:FN	Par
abafallar	abafallamos	GL_ONLY:EI	NA
abafallar	abafallamos	GL_ONLY:PI	NA
abafallar	abafallan	GL_ONLY:PI	3PP
abafallar	abafallando	GL_ONLY:FN	Xer
abafallar	abafallar	GL_ONLY:FN	Inf
abafallar	abafallar	GL_ONLY:FS	1PS
abafallar	abafallar	GL_ONLY:FS	3PS
abafallar	abafallar	GL_ONLY:IP	1PS
abafallar	abafallar	GL_ONLY:IP	3PS
abafallar	abafallara	GL_ONLY:MI	1PS
abafallar	abafallara	GL_ONLY:MI	3PS
abafallar	abafallarades	GL_ONLY:MI	NA
abafallar	abafallaramos	GL_ONLY:MI	NA
abafallar	abafallaran	GL_ONLY:MI	3PP
abafallar	abafallaras	GL_ONLY:MI	2PS
abafallar	abafallardes	GL_ONLY:FS	NA
abafallar	abafallardes	GL_ONLY:IP	NA
abafallar	abafallaredes	GL_ONLY:FI	NA
abafallar	abafallarei	GL_ONLY:FI	1PS
abafallar	abafallaremos	GL_ONLY:FI	NA
abafallar	abafallaren	GL_ONLY:FS	3PP
abafallar	abafallaren	GL_ONLY:IP	3PP
abafallar	abafallares	GL_ONLY:FS	2PS
abafallar	abafallares	GL_ONLY:IP	2PS
abafallar	abafallariades	GL_ONLY:TI	NA
abafallar	abafallariamos	GL_ONLY:TI	NA
abafallar	abafallarmos	GL_ONLY:FS	NA
abafallar	abafallarmos	GL_ONLY:IP	NA
abafallar	abafallaron	GL_ONLY:EI	3PP
abafallar	abafallarÃ¡	GL_ONLY:FI	3PS
abafallar	abafallarÃ¡n	GL_ONLY:FI	3PP
abafallar	abafallarÃ¡s	GL_ONLY:FI	2PS
abafallar	abafallarÃ­a	GL_ONLY:TI	1PS
abafallar	abafallarÃ­a	GL_ONLY:TI	3PS
abafallar	abafallarÃ­an	GL_ONLY:TI	3PP
abafallar	abafallarÃ­as	GL_ONLY:TI	2PS
abafallar	abafallas	GL_ONLY:PI	2PS
abafallar	abafallase	GL_ONLY:IS	1PS
abafallar	abafallase	GL_ONLY:IS	3PS
abafallar	abafallasen	GL_ONLY:IS	3PP
abafallar	abafallases	GL_ONLY:IS	2PS
abafallar	abafallastes	GL_ONLY:EI	NA
abafallar	abafalle	GL_ONLY:IA	NA
abafallar	abafalle	GL_ONLY:IN	NA
abafallar	abafalle	GL_ONLY:PS	1PS
abafallar	abafalle	GL_ONLY:PS	3PS
abafallar	abafalledes	GL_ONLY:IN	NA
abafallar	abafalledes	GL_ONLY:PS	NA
abafallar	abafallei	GL_ONLY:EI	1PS
abafallar	abafallemos	GL_ONLY:IA	NA
abafallar	abafallemos	GL_ONLY:IN	NA
abafallar	abafallemos	GL_ONLY:PS	NA
abafallar	abafallen	GL_ONLY:IA	NA
abafallar	abafallen	GL_ONLY:IN	NA
abafallar	abafallen	GL_ONLY:PS	3PP
abafallar	abafalles	GL_ONLY:IN	2PS
abafallar	abafalles	GL_ONLY:PS	2PS
abafallar	abafallo	GL_ONLY:PI	1PS
abafallar	abafallou	GL_ONLY:EI	3PS
abafallar	abafallÃ¡sedes	GL_ONLY:IS	NA
abafallar	abafallÃ¡semos	GL_ONLY:IS	NA
abanar	abana	GL_ONLY:IA	2PS
abanar	abana	GL_ONLY:PI	3PS
abanar	abanaba	GL_ONLY:II	1PS
abanar	abanaba	GL_ONLY:II	3PS
abanar	abanabades	GL_ONLY:II	NA
abanar	abanabamos	GL_ONLY:II	NA
abanar	abanaban	GL_ONLY:II	3PP
abanar	abanabas	GL_ONLY:II	2PS
abanar	abanaches	GL_ONLY:EI	2PS
abanar	abanade	GL_ONLY:IA	NA
abanar	abanades	GL_ONLY:PI	NA
abanar	abanado	GL_ONLY:FN	Par
abanar	abanamos	GL_ONLY:EI	NA
abanar	abanamos	GL_ONLY:PI	NA
abanar	abanan	GL_ONLY:PI	3PP
abanar	abanando	GL_ONLY:FN	Xer
